;-5.00_0.00_-1.00_NH3+_C:;2.00_-1.00_4.00_NH3+_LJ:;4.00_-3.00_-1.00_NH3+_LJ:;5.00_-8.00_-3.00_NH3+_LJ:;5.00_-1.00_1.00_NH3+_LJ:;5.00_0.00_-1.00_NH3+_LJ:;5.00_3.00_3.00_NH3+_LJ:;6.00_-2.00_-1.00_NH3+_LJ:;6.00_-1.00_5.00_NH3+_LJ:;6.00_0.00_2.00_NH3+_LJ:;7.00_-2.00_-2.00_NH3+_LJ:;8.00_-7.00_-4.00_NH3+_LJ:;9.00_-3.00_-2.00_NH3+_LJ:
DFT_K053_;131.59051033927483;-3.260455232902878;142.78515508548975;-0.4196547888405612;145.27228809469247;132.54967343958418;-1.1819031535125004;144.3144787035974;-0.5984462780596317;127.05232032235538;22.841631241118808;-0.1411935160133248;-0.8168356440485787
DFT_K054_;-116.36133956225538;-3.472263350704994;143.8248956617667;-0.63667958771645;144.97726758050172;136.4924647000007;-1.7928342859900428;140.31940074524906;-1.09310034953285;142.9253127245665;48.57483483017201;-1.014156912211009;0.4589946765834518
DFT_K063_;-104.26598533755354;-3.674859781395271;142.1365288368286;-0.1134871390262521;149.43562652673737;133.36600902908208;-1.002961416933999;133.40280685766706;-1.1828769804851953;143.35218196703855;-1.9969306139683216;-0.0508227746196465;-0.2892237648722821
DFT_K065_;-56.0621270451943;-3.762920128230453;142.15800483481118;-0.34925912482765553;148.7542649961376;131.98116981037276;-1.702776532718734;132.83476454826805;-1.2879799328366102;147.2458279879452;-2.196978458609156;-0.095044992770436;-0.3345900344181017
DFT_K075_;128.71733029404155;-2.7425079882822434;141.04691453623232;-0.2934481406799823;144.21472990857433;133.19187744609738;-1.0868542462159003;151.23823909357168;-0.6870810564471626;85.91864103020603;127.1287939877611;-0.1485260644321474;-1.0026684461193518
DFT_K080_;-95.653426365148;-3.06295394092297;142.17669379917095;-0.1078209509285609;146.110763404423;131.17747385657788;-1.0503905825003133;132.9505001755169;-0.453015219518387;129.29165176474788;-1.4791138328947362;-0.0453112146581178;-0.2047963870882016
DFT_K081_;-88.66015397704555;-3.2338263557715043;142.88116034716285;-0.3357076565289577;143.41687336967345;97.21062429686116;-1.138112379393048;132.264721190762;-0.57125429113028;131.07739806605395;-1.925175373785397;-0.096883955315941;-0.2774426995730314
DFT_K083_;-70.15310948916883;-3.355123980703574;141.7213659408464;-0.3527283301282438;145.24199694951824;133.85035260340123;-1.1736627533753814;152.32913645685892;-0.6149175217091685;130.84441254349994;130.04889245905198;-0.1533043599276657;-1.015075053747688
DFT_K085_;-100.56129654767712;-3.655194388185731;143.67665109423527;-0.5515961046097868;146.98485472871164;137.4868757859925;-1.6725672821679232;180.203717678496;-1.3078992110892083;145.91691127793675;147.87056803833107;-0.9917978390517604;137.84211651975602
DFT_K086_;-112.62233796537056;-3.4876908764529317;144.66930180375377;-1.3553532227875325;143.59564100056167;138.28458814442237;-1.909320821247364;141.20620590557002;-1.2260004513873832;140.83400550551764;139.43908094277722;-0.9390905149379836;25.582122201804918
DFT_K089_;-78.74379491924253;-3.29128663077001;141.9153836321704;-0.1237325616676381;143.7070847066923;128.77319826394537;-1.1804626199210329;138.52351686366674;-0.5806061862334535;132.05500624895552;-0.7724351079430392;-0.056108124083895206;-0.3142585689407657
DFT_K092_;-88.3145871467001;-3.3414330132055543;144.08716878955335;-1.3063449966405274;143.03626556289808;139.02444177824768;-1.9588318681025938;143.02154643666907;-1.072209362114956;140.0094859172753;148.43890483360062;0.8746211905438638;143.03022993537675
DFT_K099_;131.99403444458943;-4.070861165427518;142.7395683353956;-0.1688228159630475;143.49667383344382;132.24820530868445;0.8470301946884911;146.55888741183173;-1.5720673228392257;147.1706713150863;39.08517413337129;-0.09774743370240499;-0.8808197003084872
DFT_K102_;130.354734529593;-1.8416936858073272;141.1504026897476;-0.1684773874722935;143.94507577599236;131.94754941909898;-1.9488074529451809;149.0901873823513;-0.1549873417342584;142.12137578271302;80.56905553833447;-0.1030774109095868;-0.922207805675768
DFT_K104_;-96.03613794750513;-3.435051622331957;143.19948815431624;-0.8220481519126502;144.49332424263022;133.93856194813173;-1.2788979476712032;143.4579780045481;-1.3039225331900586;134.3563234455832;133.35554539497167;-0.4296064551198698;89.68676321344574
DFT_K105_;-98.74817987274533;-3.4611129431645984;144.1206100430514;-3.0671743993311926;143.1627688090292;139.00004120924237;-1.927571025495817;140.84892532798304;-1.0911304536889288;140.06801597063875;139.09844885168962;-1.8711472526420616;8.525232146460294
DFT_K111_;-91.23490376943457;-3.1967267884957904;140.82124872911214;-0.1030112120771695;140.2721563236433;129.12588712155411;-0.99605891517812;131.75334299712432;-0.4409688139260452;1.829077428848753;-1.449620354237262;-0.0437191482624967;-0.1939994100232711
DFT_K124_;-534.2006003123714;-3.69563157839749;143.16475941919794;-0.19438087011344;146.83383216401023;133.3363200943128;-1.5119038803334963;143.9781070195004;-1.2945445165931566;146.20260533986402;21.22111594695047;-0.1067363152251137;-0.835838434910609
